USTACK_HASH,USTACK_SYMS
8304ab841cc637fa,'mdread+0x54;ReadBufferExtended+0x8b;heapgetpage+0x59;heap_getnextslot+0x2d'
491f5b9660805cda,'mdread+0x54'
20cd6de7eb7920ab,'mdread+0x54;ReadBufferExtended+0x8b;heapgetpage+0x59;heap_getnextslot+0x2d;standard_ExecutorRun+0x163;ParallelQueryMain+0x387;ParallelWorkerMain+0x7d7;StartBackgroundWorker+0x22d'
b52f7a88258e5ed1,'mdread+0x54;ReadBufferExtended+0x8b;heapgetpage+0x59;heap_getnextslot+0x2d'
3c7e24b9cd319abe,''
278ea5f8c3124ad3,'td_io_queue+0x170'
d5efedb19f68709a,'mdread+0x54;ReadBufferExtended+0x8b;index_fetch_heap+0x6c;systable_getnext_ordered+0x41;heap_fetch_toast_slice+0x26d;detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
524aba98013ebbb,'mdread+0x54;index_fetch_heap+0x6c'
d8ef1900dbd12b7c,'mdread+0x54;index_fetch_heap+0x6c;heap_fetch_toast_slice+0x4b8;detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
11cd71cabeb13fcc,'__libc_start_main+0x8b'
4b2134ce7e37e99d,'EVP_Cipher+0xab;__libc_start_main+0x8b'
765b04361f6503d7,'Java_sun_nio_ch_SocketDispatcher_read0+0x2f'
b27f4f3cf138dc05,'__libc_start_main+0x8b'
44da26829669d81c,'__libc_start_main+0x8b'
c9e2ded26081059d,'__libc_start_main+0x8b'
74d8692b3dd97836,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
19883ea7d81359e5,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
db4e192e9a9dff8d,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
6196696fa29e343,'_PyEval_EvalFrameDefault+0x212e;_PyEval_EvalFrameDefault+0x4cb0'
f3bde2986c1bd5a9,'mdread+0x54;ReadBufferExtended+0x8b;index_fetch_heap+0x6c;systable_getnext_ordered+0x41;heap_fetch_toast_slice+0x41e;detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
af63c94c8601cc43,''
62afd3f6f1f94e9e,'LIBAIO_0.1+0x12b7;io_getevents+0x32;io_u_queued_complete+0x7a;fio_backend+0x134;main+0xae;__libc_start_main+0x8b;_start+0x25'
4c93c12a2ae39665,'os_event::wait_time_low(std::chrono::duration<long, std::ratio<(long)1, (long)1000000> >, long)+0x81;Clone_persist_gtid::periodic_write()+0x12c'
d9f19e84cc033009,''
dfcd6ddd5149026e,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
25d9bf05bf89e1c1,''
ff19cd463ad66d8d,'mdread+0x54;ReadBufferExtended+0x8b;index_fetch_heap+0x6c;systable_getnext_ordered+0x52;heap_fetch_toast_slice+0x41e;detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
3b00ee282198ed8e,'__libc_start_main+0x8b'
bd42527e6b7af000,'__libc_fcntl64+0x45;Java_sun_nio_ch_IOUtil_configureBlocking+0x6f'
d52b57648565192b,'__libc_start_main+0x8b'
6b304e400070f0f2,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
7c36ac6c4f9394c4,'__libc_start_main+0x8b'
b940662c9e3b05c7,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
ad14fc3c07da6c8f,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
c180135926b40a01,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
402f896f474aa161,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
653162cf8c872869,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
132c3d09f98ec47d,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
fad646ab7889cd8e,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
8db0f4b9a7573446,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
a01fa1934d2ec90b,'__libc_start_main+0x8b'
924c87a720253f10,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
fd3405644f9a59b0,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
b7196180b1ae52fc,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
ec00a92f7a8e5552,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
f3ee02936ac17ce1,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
c87d7430a4a539e6,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
f8572119e8449775,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
bff613be66172d30,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
2bc5dc3b5e2dbf59,'tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
e7d06efe51d0a215,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
93bc77803c20fd1d,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
ed72d7a6292de2d5,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
4e2d5fe7e1c4895,'_bt_first+0xb28'
44723f3a48afde50,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
4b451962bc45038d,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
b343bd0f2cc4ddb9,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
313c782057bc717f,''
61b157091d94fcd,''
aba2e0c72dd693f0,''
3c5908fed32615e4,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
abe64344c65c3963,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
9b2edb976592c240,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
f1edffc262177328,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
21906c83a803a53c,''
bfdca9f62edc6668,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
e126a0956b9a389a,'__libc_free+0x7e'
a80aa00ce12d670a,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
50aabaea11f8d09f,''
d60c38e83ae74c6f,''
7b2ff91bbf45bc68,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
fd8e8df24c23bbf3,'tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
e0611f00fec7dcfc,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
6bee26655627591,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
2497fedbc9779df4,'td_io_commit+0x73;td_io_queue+0x3e4;fio_backend+0x134;main+0xae;__libc_start_main+0x8b;_start+0x25'
af41144393f73533,'pthread_cond_timedwait+0x115;PlatformMonitor::wait(unsigned long)+0x60;clock_gettime+0x1d;Mutex::lock_without_safepoint_check()+0x2a;WatcherThread::sleep() const+0x7f;WatcherThread::run()+0x29;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
3593e5199ce2fb88,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163;PortalRun+0x308'
a2dd2153e86afeae,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
6bf924edb5557d16,''
1669e8d8acdfa015,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
83ffdfa3dabc5d08,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
82fbc4bfbaf68a63,'__libc_start_main+0x8b'
d439487c31346773,''
a57f849ef8304acd,'raw_parser+0x7a;SPI_execute+0x94;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b;_start+0x25'
c3b2310535632469,'PhaseIdealLoop::build_and_optimize()+0x1a4;Compile::optimize_loops(PhaseIterGVN&, LoopOptsMode)+0x2ab;Compile::Optimize()+0x7c7;Compile::Compile(ciEnv*, ciMethod*, int, Options, DirectiveSet*)+0xecc;C2Compiler::compile_method(ciEnv*, ciMethod*, int, bool, DirectiveSet*)+0x19d;CompileBroker::invoke_compiler_on_method(CompileTask*)+0xc73;CompileBroker::compiler_thread_loop()+0x6d8;JavaThread::thread_main_inner()+0x1e6;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
44c1bb84057ae0d,'Method::print_short_name(outputStream*) const+0x92;CompileTask::print_impl(outputStream*, Method*, int, int, bool, int, bool, char const*, bool, bool, long, long)+0xfc;CompileTask::print(outputStream*, char const*, bool, bool)+0xa5;CompilationLog::log_compile(JavaThread*, CompileTask*)+0x5d;CompileBroker::invoke_compiler_on_method(CompileTask*)+0xb8;CompileBroker::compiler_thread_loop()+0x6d8;JavaThread::thread_main_inner()+0x1e6;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
c40262ba49efc20,'JavaCalls::call_helper(JavaValue*, methodHandle const&, JavaCallArguments*, JavaThread*)+0x2da;JavaCalls::call_virtual(JavaValue*, Handle, Klass*, Symbol*, Symbol*, JavaThread*)+0x1a2;thread_entry(JavaThread*, JavaThread*)+0x93;JavaThread::thread_main_inner()+0x1e6;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
9256d668ef2f7f86,'detoast_attr+0x115;vector_cmp+0x17;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67;standard_ExecutorRun+0x163'
4f5f5d448a38e50,''
16752d0284e72a65,''
bd65a72d35dcca3f,''
f0804010e20be4f,''
1012420e3259b332,''
a0fbbdb9e2be3d6b,'G1CollectedHeap::new_mutator_alloc_region(unsigned long, bool, unsigned int)+0x96;G1AllocRegion::new_alloc_region_and_allocate(unsigned long, bool)+0x1a;G1CollectedHeap::attempt_allocation_slow(unsigned int, unsigned long)+0x10b;G1CollectedHeap::allocate_new_tlab(unsigned long, unsigned long, unsigned long*)+0xdd;MemAllocator::mem_allocate_inside_tlab_slow(MemAllocator::Allocation&) const+0x1bf;MemAllocator::allocate() const+0xe7;InstanceKlass::allocate_instance(JavaThread*)+0x45;OptoRuntime::new_instance_C(Klass*, JavaThread*)+0x182'
aa7cf158c9021e4a,'Mutex::lock()+0x4b;G1CollectedHeap::attempt_allocation_slow(unsigned int, unsigned long)+0xa7;G1CollectedHeap::allocate_new_tlab(unsigned long, unsigned long, unsigned long*)+0xdd;MemAllocator::mem_allocate_inside_tlab_slow(MemAllocator::Allocation&) const+0x1bf;MemAllocator::allocate() const+0xe7;InstanceKlass::allocate_instance(JavaThread*)+0x45;OptoRuntime::new_instance_C(Klass*, JavaThread*)+0x182'
7ed68c1df2bbefe6,''
2a2a4a0e777143e,'_PyEval_EvalFrameDefault+0x4323;_PyEval_EvalFrameDefault+0x4cb0'
9275a98e6ead845c,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
8411d47b3e21c65,''
3a5d6a63e382fd0e,''
f9da7c25ad4eb850,''
b37387ac58d1272f,''
38c489b5cff2552c,''
7a9bc4a88336e422,''
ae4e78bf8a6bed62,''
b2f395661e15e69,''
a3994557957a31ba,''
a6e9d4a45e5f5c21,''
997e915ae72ae4a5,''
f031e132eb59e89a,''
e05aaa8452c86be4,''
416f1eb3ea726e36,'add_paths_to_joinrel+0x91a;make_join_rel+0x131;join_search_one_level+0x33a;standard_join_search+0x63;query_planner+0x14f;subquery_planner+0xbe2;standard_planner+0x132;pg_plan_query+0x4b;pg_plan_queries+0x52;GetCachedPlan+0x2d1;SPI_execute+0xd5;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d'
78873487e5e40b53,'alloc::vec::Vec<T,A>::retain::{{closure}}+0x24'
987650a323440b53,'alloc::vec::Vec<T,A>::retain::{{closure}}+0x24'
2ba2b0cfd2405896,'async_io::reactor::Reactor::process_timers+0x1f7'
1725e8a7623b9731,'StatSamplerTask::task()+0x32;PeriodicTask::real_time_tick(int)+0x65;WatcherThread::run()+0x87;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
dc7b70fc729b9731,'StatSamplerTask::task()+0x32;PeriodicTask::real_time_tick(int)+0x65;WatcherThread::run()+0x87;Thread::call_run()+0xa7;thread_native_entry(Thread*)+0xd5'
c04aad084d32f5de,'MutatorAllocRegion::retire(bool)+0xd0;G1CollectedHeap::attempt_allocation_slow(unsigned int, unsigned long)+0xfe;G1CollectedHeap::allocate_new_tlab(unsigned long, unsigned long, unsigned long*)+0xdd;MemAllocator::mem_allocate_inside_tlab_slow(MemAllocator::Allocation&) const+0x1bf;MemAllocator::allocate() const+0xe7;InstanceKlass::allocate_instance(JavaThread*)+0x45;OptoRuntime::new_instance_C(Klass*, JavaThread*)+0x182'
2e7558c0aeb422fa,'index_fetch_heap+0x6c;systable_getnext_ordered+0x41;heap_fetch_toast_slice+0x26d;detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
4fb1aa60c6f4bb65,''
c731311d8aeace3f,'_PyObject_MakeTpCall+0x75;_PyEval_EvalFrameDefault+0xa356;__pmdaMainPDU+0x525;pmdaMain+0x18;_PyObject_MakeTpCall+0x75;_PyEval_EvalFrameDefault+0xadf;PyEval_EvalCode+0x15b;_PyRun_SimpleFileObject+0x1aa;_PyRun_AnyFileObject+0x4f;Py_RunMain+0x3b5;Py_BytesMain+0x2d'
9bf79aa757e76490,''
6b8e50eaf3c37350,''
57e435a2d21de749,''
de1cf8b01b3ca749,''
37a30525ac0694a4,''
461532d59c6cfe39,''
51de30cfbe3cfc6b,''
f51a3cf784bc886a,''
b646e25a8a255656,''
2f943a73094687dc,''
c3e9be11575611af,''
a152379dd133673d,''
ed5ff26bc19fc86,''
560e0f7a8a6dd89a,''
3c9210136ac3cb78,''
4bdb2f4f9e9a673,''
e04d5bc53f99a7aa,''
3eff9686b3e81b78,''
78c80dbb40eb01d9,''
b832bc58feec1ac7,''
2faff3e04d25389a,''
c5a7206af125f697,''
523f643a45ff04a0,''
3432777b9e0504a0,''
5e49b61f1a7e34a0,''
7b0d3c81c973a4a0,''
54346a0d3e49d4a0,''
1b15e1b91078d4da,'pg_stat_get_activity+0x6a;ExecMakeTableFunctionResult+0x3ec;standard_ExecutorRun+0x163;SPI_execute+0xd5;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227'
5749fafb794e9c9f,'__libc_start_main+0x8b'
7ebc8a1df28fbe80,''
846016032f79715a,'_bt_first+0x70;btgettuple+0x9f;index_getnext_tid+0x2f;systable_getnext_ordered+0x31;heap_fetch_toast_slice+0x26d;detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3'
333b0c4ff8f67019,'PyObject_Vectorcall+0x35;_PyEval_EvalFrameDefault+0xadf;__pmdaMainPDU+0x525;pmdaMain+0x18;_PyObject_MakeTpCall+0x75;_PyEval_EvalFrameDefault+0xadf;PyEval_EvalCode+0x15b;_PyRun_SimpleFileObject+0x1aa;_PyRun_AnyFileObject+0x4f;Py_RunMain+0x3b5;Py_BytesMain+0x2d'
7e94c2eda574733c,''
1e44fd24c27f1936,'Clone_persist_gtid::flush_gtids(THD*)+0x42;Clone_persist_gtid::periodic_write()+0x84'
d741203d3845c796,''
7d368a12c06d3741,''
9700779de6614749,''
72bec00fce5bca88,''
6058f2e187a1ee69,''
cb602809fb231e1e,''
1d66224c7e6c5a36,''
3bf102ffcd069506,''
d58578489edd1fcb,''
6c23f13d95d3c1b6,''
36dbff7152b3574a,''
f764f91579b3dfbe,''
9a9d24a0bc419d08,''
cb320be39669d240,''
38362e824266ad8d,''
69882e7b05376ffd,''
e6a9aa146366134e,''
2c8f958b471bec31,''
d13853961d8da9b8,''
89b463020ba49ca2,''
13176fb9214ca2be,''
11a119d8453c578a,''
9fb2e6029fb03ad,''
8bc60de08425cca2,''
2d02cae1c77371b,'pgsentinel_main+0x132;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227;__libc_start_main+0x8b;_start+0x25'
f89606fd877bf4c8,'OptoRuntime::is_deoptimized_caller_frame(JavaThread*)+0x62;OptoRuntime::new_array_nozero_C(Klass*, int, JavaThread*)+0xe0'
f0ad6c6d4938072d,'ObjectSynchronizer::wait(Handle, long, JavaThread*)+0x5c;JVM_MonitorWait+0x157'
4c61242ce7fe702e,''
c7eb8fc0740039e,'G1CollectedHeap::new_mutator_alloc_region(unsigned long, bool, unsigned int)+0x69;G1AllocRegion::new_alloc_region_and_allocate(unsigned long, bool)+0x1a;G1CollectedHeap::attempt_allocation_slow(unsigned int, unsigned long)+0x10b;G1CollectedHeap::allocate_new_tlab(unsigned long, unsigned long, unsigned long*)+0xdd;MemAllocator::mem_allocate_inside_tlab_slow(MemAllocator::Allocation&) const+0x1bf;MemAllocator::allocate() const+0xe7;InstanceKlass::allocate_instance(JavaThread*)+0x45;OptoRuntime::new_instance_C(Klass*, JavaThread*)+0x182'
bf254aca05658a30,'ObjectSynchronizer::enter(Handle, BasicLock*, JavaThread*)+0xec;SharedRuntime::complete_monitor_locking_C(oopDesc*, BasicLock*, JavaThread*)+0x73'
7fda3c4189f59e2e,''
6c7be31f7325b19b,'detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
bfe94eb82c21aa3f,'__libc_start_main+0x8b'
2ed46b5921a21c91,'log_files_governor(log_t*)+0x159'
dbeafa085311d3d1,''
506017b9a5337d84,''
e40db9c97f27f760,''
25825e931f2e56e0,''
d0f8db1cb446f0ca,''
386959dd10c951b6,''
8f5d0354676dfe4c,''
bec01664215dee1f,''
d2145132d45e83cd,''
54758c9ef98406c3,''
4ac6826b89dd7e52,''
3108c2444946a2be,''
450ebcad56dded08,''
336f270f2665a043,'writeBytes+0x9c;Java_java_io_FileOutputStream_writeBytes+0x1b'
42fef9af1323f65f,'G1AllocRegion::new_alloc_region_and_allocate(unsigned long, bool)+0x1a;G1CollectedHeap::attempt_allocation_slow(unsigned int, unsigned long)+0x10b;G1CollectedHeap::allocate_new_tlab(unsigned long, unsigned long, unsigned long*)+0xdd;MemAllocator::mem_allocate_inside_tlab_slow(MemAllocator::Allocation&) const+0x1bf;MemAllocator::allocate() const+0xe7;InstanceKlass::allocate_instance(JavaThread*)+0x45;OptoRuntime::new_instance_C(Klass*, JavaThread*)+0x182'
8909a9c480d28cdb,'btgettuple+0x9f;index_getnext_tid+0x2f;systable_getnext_ordered+0x31;heap_fetch_toast_slice+0x26d;detoast_attr+0x115;vector_cmp+0x24;tuplesort_puttuple_common+0x1b3;tuplesort_putdatum+0x67'
b91d917a7b6fd8c,'io_u_queued_complete+0x17d;fio_backend+0x134;main+0xae;__libc_start_main+0x8b;_start+0x25'
c9f1729370765ab2,'_PyEval_EvalFrameDefault+0x4cb0;_PyObject_Call_Prepend+0xc2;_PyObject_MakeTpCall+0x75;_PyEval_EvalFrameDefault+0xadf;PyObject_Call+0x115;_PyEval_EvalFrameDefault+0x4cb0;_PyEval_EvalFrameDefault+0x4cb0'
b773a43ca3b561d8,''
b1c57dbd895b63cd,''
65b72ec71e20af45,''
d4ffbc3d88bb4750,''
8bf7446884885858,''
f5deaa12ad3224a4,''
8ea433d5d7b7ff04,''
2c309f347801a775,''
c9f36ee81d80ef04,''
e9b6b0747d7e41f9,''
e664384054b22a07,''
86dac4654ff729b7,''
14763e34c095a8d3,''
83235a1c1c8d4efa,''
a61ba8e3b4f7ba12,''
9541aa82237f79b7,''
1900c7cbad5658d3,''
eea6da84d4f84c31,''
79fbc0f14dff4515,''
592433f2fc6649ee,''
4c232c2bd994c480,''
20ad2a6848f1fd6b,''
32864115cb02e3ad,''
974523a0fa857d08,''
d11adc2212ecbca2,''
b72586e502ca4d08,''
472566b737c4cb2e,'subquery_planner+0x25d;standard_planner+0x132;pg_plan_query+0x4b;pg_plan_queries+0x52;GetCachedPlan+0x2d1;SPI_execute+0xd5;pgsentinel_main+0x19d;StartBackgroundWorker+0x22d;PostmasterMain+0xdc9;main+0x227'
2b465ccfd1a375da,'core::ops::function::FnOnce::call_once{{vtable.shim}}+0x16b'
